task,leg,method,metric,mean,sd,n_seeds,per_seed
t1,BGL->spirit_first20M,BM25,hit@1,0.5480,0.0750,5,201:0.5600;202:0.4900;203:0.5500;204:0.4750;205:0.6650
t1,BGL->spirit_first20M,BM25,hit@10,0.4752,0.0248,5,201:0.5115;202:0.4720;203:0.4560;204:0.4500;205:0.4865
t1,BGL->spirit_first20M,BM25,hit@5,0.4920,0.0365,5,201:0.5040;202:0.5050;203:0.4810;204:0.4360;205:0.5340
t1,BGL->spirit_first20M,BM25,macro_f1,0.4053,0.0213,5,201:0.3940;202:0.3959;203:0.3812;204:0.4302;205:0.4253
t1,BGL->spirit_first20M,Dense RAG,hit@1,0.5090,0.1627,5,201:0.6500;202:0.7100;203:0.3300;204:0.4400;205:0.4150
t1,BGL->spirit_first20M,Dense RAG,hit@10,0.4310,0.0386,5,201:0.4430;202:0.4850;203:0.3780;204:0.4245;205:0.4245
t1,BGL->spirit_first20M,Dense RAG,hit@5,0.4340,0.0756,5,201:0.4800;202:0.5440;203:0.3870;204:0.3950;205:0.3640
t1,BGL->spirit_first20M,Dense RAG,macro_f1,0.3812,0.1310,5,201:0.4875;202:0.5513;203:0.2688;204:0.3333;205:0.2650
t1,BGL->spirit_first20M,HippoRAG,hit@1,0.5520,0.1890,5,201:0.5000;202:0.3750;203:0.5100;204:0.5000;205:0.8750
t1,BGL->spirit_first20M,HippoRAG,hit@10,0.5791,0.1068,5,201:0.6950;202:0.4225;203:0.5855;204:0.5370;205:0.6555
t1,BGL->spirit_first20M,HippoRAG,hit@5,0.6092,0.1673,5,201:0.6490;202:0.4100;203:0.5600;204:0.5610;205:0.8660
t1,BGL->spirit_first20M,HippoRAG,macro_f1,0.6600,0.2526,5,201:0.7688;202:0.3597;203:0.4172;204:0.8792;205:0.8748
t1,BGL->spirit_first20M,Hybrid+Rerank,hit@1,0.5950,0.0997,5,201:0.5100;202:0.6300;203:0.4750;204:0.6450;205:0.7150
t1,BGL->spirit_first20M,Hybrid+Rerank,hit@10,0.4894,0.0273,5,201:0.5035;202:0.4950;203:0.4415;204:0.4985;205:0.5085
t1,BGL->spirit_first20M,Hybrid+Rerank,hit@5,0.5178,0.0405,5,201:0.5220;202:0.5360;203:0.4470;204:0.5380;205:0.5460
t1,BGL->spirit_first20M,Hybrid+Rerank,macro_f1,0.4973,0.0325,5,201:0.5290;202:0.4930;203:0.4466;204:0.5225;205:0.4956
t1,BGL->spirit_first20M,Hybrid-RRF,hit@1,0.6160,0.0764,5,201:0.6100;202:0.7300;203:0.6050;204:0.5150;205:0.6200
t1,BGL->spirit_first20M,Hybrid-RRF,hit@10,0.4604,0.0465,5,201:0.4900;202:0.5255;203:0.4240;204:0.4155;205:0.4470
t1,BGL->spirit_first20M,Hybrid-RRF,hit@5,0.4914,0.0710,5,201:0.5500;202:0.5690;203:0.4380;204:0.4030;205:0.4970
t1,BGL->spirit_first20M,Hybrid-RRF,macro_f1,0.4651,0.0790,5,201:0.4964;202:0.5025;203:0.4949;204:0.3242;205:0.5078
t1,BGL->spirit_first20M,KG-PPR Proxy,hit@1,0.5390,0.1412,5,201:0.5000;202:0.5350;203:0.5050;204:0.3850;205:0.7700
t1,BGL->spirit_first20M,KG-PPR Proxy,hit@10,0.6830,0.0791,5,201:0.7780;202:0.6065;203:0.6105;204:0.6685;205:0.7515
t1,BGL->spirit_first20M,KG-PPR Proxy,hit@5,0.7104,0.0882,5,201:0.8210;202:0.6340;203:0.6320;204:0.7870;205:0.6780
t1,BGL->spirit_first20M,KG-PPR Proxy,macro_f1,0.6380,0.2778,5,201:0.8843;202:0.3333;203:0.3443;204:0.8730;205:0.7550
t1,BGL->spirit_first20M,SMA,hit@1,0.6360,0.1318,5,201:0.8700;202:0.5600;203:0.6000;204:0.5850;205:0.5650
t1,BGL->spirit_first20M,SMA,hit@10,0.6639,0.0407,5,201:0.6715;202:0.5930;203:0.6945;204:0.6855;205:0.6750
t1,BGL->spirit_first20M,SMA,hit@5,0.6976,0.0678,5,201:0.7630;202:0.6240;203:0.7130;204:0.7590;205:0.6290
t1,BGL->spirit_first20M,SMA,macro_f1,0.6593,0.1854,5,201:0.8640;202:0.5290;203:0.5443;204:0.8591;205:0.5000
t1,BGL->thunderbird_first20M,BM25,hit@1,0.5980,0.0524,5,201:0.5650;202:0.5350;203:0.6650;204:0.6350;205:0.5900
t1,BGL->thunderbird_first20M,BM25,hit@10,0.6589,0.0519,5,201:0.6190;202:0.6215;203:0.7090;204:0.7220;205:0.6230
t1,BGL->thunderbird_first20M,BM25,hit@5,0.5614,0.0837,5,201:0.5030;202:0.4620;203:0.6190;204:0.6680;205:0.5550
t1,BGL->thunderbird_first20M,BM25,macro_f1,0.5527,0.1147,5,201:0.4915;202:0.3879;203:0.6399;204:0.6695;205:0.5750
t1,BGL->thunderbird_first20M,Dense RAG,hit@1,0.7120,0.0636,5,201:0.7650;202:0.7050;203:0.6050;204:0.7400;205:0.7450
t1,BGL->thunderbird_first20M,Dense RAG,hit@10,0.7733,0.0288,5,201:0.8105;202:0.7845;203:0.7725;204:0.7680;205:0.7310
t1,BGL->thunderbird_first20M,Dense RAG,hit@5,0.7396,0.0347,5,201:0.7900;202:0.7280;203:0.7310;204:0.7530;205:0.6960
t1,BGL->thunderbird_first20M,Dense RAG,macro_f1,0.7159,0.0317,5,201:0.7630;202:0.6997;203:0.7104;204:0.7273;205:0.6789
t1,BGL->thunderbird_first20M,HippoRAG,hit@1,0.7500,0.0798,5,201:0.8500;202:0.6550;203:0.7650;204:0.7950;205:0.6850
t1,BGL->thunderbird_first20M,HippoRAG,hit@10,0.6382,0.1110,5,201:0.4800;202:0.6000;203:0.7670;204:0.7165;205:0.6275
t1,BGL->thunderbird_first20M,HippoRAG,hit@5,0.6864,0.0612,5,201:0.5820;202:0.6920;203:0.7350;204:0.7260;205:0.6970
t1,BGL->thunderbird_first20M,HippoRAG,macro_f1,0.8166,0.1108,5,201:0.8412;202:0.9045;203:0.7394;204:0.9297;205:0.6682
t1,BGL->thunderbird_first20M,Hybrid+Rerank,hit@1,0.5420,0.0523,5,201:0.5050;202:0.5700;203:0.6200;204:0.5200;205:0.4950
t1,BGL->thunderbird_first20M,Hybrid+Rerank,hit@10,0.7120,0.0267,5,201:0.7415;202:0.7085;203:0.7265;204:0.7135;205:0.6700
t1,BGL->thunderbird_first20M,Hybrid+Rerank,hit@5,0.6516,0.0303,5,201:0.6440;202:0.6420;203:0.6950;204:0.6640;205:0.6130
t1,BGL->thunderbird_first20M,Hybrid+Rerank,macro_f1,0.6160,0.0915,5,201:0.5625;202:0.6153;203:0.7536;204:0.6384;205:0.5102
t1,BGL->thunderbird_first20M,Hybrid-RRF,hit@1,0.6050,0.0903,5,201:0.7350;202:0.6200;203:0.5500;204:0.6250;205:0.4950
t1,BGL->thunderbird_first20M,Hybrid-RRF,hit@10,0.6608,0.0413,5,201:0.6585;202:0.6100;203:0.6850;204:0.7155;205:0.6350
t1,BGL->thunderbird_first20M,Hybrid-RRF,hit@5,0.6550,0.0410,5,201:0.6480;202:0.6450;203:0.6950;204:0.6920;205:0.5950
t1,BGL->thunderbird_first20M,Hybrid-RRF,macro_f1,0.6885,0.0557,5,201:0.6800;202:0.6666;203:0.7756;204:0.6968;205:0.6236
t1,BGL->thunderbird_first20M,KG-PPR Proxy,hit@1,0.6010,0.1505,5,201:0.5000;202:0.6500;203:0.5050;204:0.5050;205:0.8450
t1,BGL->thunderbird_first20M,KG-PPR Proxy,hit@10,0.6654,0.0482,5,201:0.6990;202:0.6150;203:0.6190;204:0.6700;205:0.7240
t1,BGL->thunderbird_first20M,KG-PPR Proxy,hit@5,0.6924,0.0420,5,201:0.7260;202:0.6780;203:0.6260;204:0.7260;205:0.7060
t1,BGL->thunderbird_first20M,KG-PPR Proxy,macro_f1,0.5722,0.2187,5,201:0.7150;202:0.3333;203:0.3333;204:0.7211;205:0.7583
t1,BGL->thunderbird_first20M,SMA,hit@1,0.8790,0.0210,5,201:0.8850;202:0.9050;203:0.8600;204:0.8900;205:0.8550
t1,BGL->thunderbird_first20M,SMA,hit@10,0.7217,0.0314,5,201:0.6975;202:0.6795;203:0.7475;204:0.7485;205:0.7355
t1,BGL->thunderbird_first20M,SMA,hit@5,0.7544,0.0237,5,201:0.7580;202:0.7370;203:0.7340;204:0.7930;205:0.7500
t1,BGL->thunderbird_first20M,SMA,macro_f1,0.7271,0.0155,5,201:0.7150;202:0.7453;203:0.7273;204:0.7088;205:0.7394
t1,HDFS->OpenStack,BM25,hit@1,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,BM25,hit@10,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,BM25,hit@5,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,BM25,macro_f1,0.3333,0.0000,5,201:0.3333;202:0.3333;203:0.3333;204:0.3333;205:0.3333
t1,HDFS->OpenStack,Dense RAG,hit@1,0.5060,0.0192,5,201:0.4950;202:0.5000;203:0.4950;204:0.5000;205:0.5400
t1,HDFS->OpenStack,Dense RAG,hit@10,0.5020,0.0049,5,201:0.4955;202:0.5045;203:0.5055;204:0.5065;205:0.4980
t1,HDFS->OpenStack,Dense RAG,hit@5,0.5040,0.0053,5,201:0.4980;202:0.5080;203:0.5020;204:0.5110;205:0.5010
t1,HDFS->OpenStack,Dense RAG,macro_f1,0.3976,0.0691,5,201:0.3837;202:0.3333;203:0.4851;204:0.4524;205:0.3333
t1,HDFS->OpenStack,HippoRAG,hit@1,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,HippoRAG,hit@10,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,HippoRAG,hit@5,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,HippoRAG,macro_f1,0.3333,0.0000,5,201:0.3333;202:0.3333;203:0.3333;204:0.3333;205:0.3333
t1,HDFS->OpenStack,Hybrid+Rerank,hit@1,0.5410,0.0731,5,201:0.5150;202:0.5100;203:0.5800;204:0.6450;205:0.4550
t1,HDFS->OpenStack,Hybrid+Rerank,hit@10,0.4954,0.0121,5,201:0.4835;202:0.4815;203:0.5060;204:0.4995;205:0.5065
t1,HDFS->OpenStack,Hybrid+Rerank,hit@5,0.4942,0.0250,5,201:0.4760;202:0.4670;203:0.5210;204:0.5200;205:0.4870
t1,HDFS->OpenStack,Hybrid+Rerank,macro_f1,0.4394,0.0821,5,201:0.3537;202:0.4595;203:0.3866;204:0.5672;205:0.4302
t1,HDFS->OpenStack,Hybrid-RRF,hit@1,0.4980,0.0027,5,201:0.4950;202:0.5000;203:0.4950;204:0.5000;205:0.5000
t1,HDFS->OpenStack,Hybrid-RRF,hit@10,0.5024,0.0034,5,201:0.4990;202:0.5040;203:0.5010;204:0.5075;205:0.5005
t1,HDFS->OpenStack,Hybrid-RRF,hit@5,0.5008,0.0024,5,201:0.5030;202:0.5020;203:0.5000;204:0.5020;205:0.4970
t1,HDFS->OpenStack,Hybrid-RRF,macro_f1,0.3329,0.0010,5,201:0.3333;202:0.3311;203:0.3333;204:0.3333;205:0.3333
t1,HDFS->OpenStack,KG-PPR Proxy,hit@1,0.4990,0.0022,5,201:0.5000;202:0.4950;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,KG-PPR Proxy,hit@10,0.5006,0.0007,5,201:0.5000;202:0.5005;203:0.5000;204:0.5010;205:0.5015
t1,HDFS->OpenStack,KG-PPR Proxy,hit@5,0.5014,0.0026,5,201:0.4980;202:0.5040;203:0.5000;204:0.5040;205:0.5010
t1,HDFS->OpenStack,KG-PPR Proxy,macro_f1,0.3432,0.0221,5,201:0.3333;202:0.3828;203:0.3333;204:0.3333;205:0.3333
t1,HDFS->OpenStack,SMA,hit@1,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,SMA,hit@10,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,SMA,hit@5,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,SMA,macro_f1,0.3333,0.0000,5,201:0.3333;202:0.3333;203:0.3333;204:0.3333;205:0.3333
